iter	Passed	Remaining
480	669	721
481	670	720
482	671	718
483	672	717
484	673	715
485	675	713
486	676	712
487	679	712
488	680	711
489	681	709
490	682	707
491	683	705
492	684	703
493	685	701
494	686	699
495	687	698
496	688	697
497	690	695
498	693	696
499	695	695
500	695	693
501	696	691
502	697	689
503	698	687
504	699	686
505	701	684
506	701	682
507	702	680
508	703	678
509	708	680
510	709	678
511	710	677
512	711	675
513	712	674
514	714	672
515	715	670
516	715	668
517	716	666
518	717	664
519	718	663
520	721	663
521	723	662
522	724	660
523	725	659
524	726	657
525	727	655
526	728	653
527	729	652
528	730	650
529	731	648
530	732	647
531	736	647
532	739	647
533	740	646
534	741	644
535	741	642
536	742	640
537	743	638
538	744	637
539	746	635
540	747	633
541	748	632
542	749	630
543	753	631
544	755	630
545	756	628
546	757	627
547	758	625
548	759	624
549	760	622
550	761	620
551	762	619
552	765	618
553	767	617
554	768	616
555	770	614
556	771	613
557	772	611
558	773	609
559	774	608
560	775	606
561	776	605
562	777	603
563	779	602
564	781	601
565	782	599
566	783	598
567	784	596
568	785	594
569	786	593
570	787	591
571	788	590
572	789	588
573	790	586
574	791	584
575	791	582
576	795	583
577	798	582
578	798	580
579	799	579
580	800	577
581	801	575
582	802	573
583	803	572
584	803	570
585	804	568
586	805	566
587	807	565
588	809	564
589	810	563
590	811	561
591	812	559
592	813	558
593	814	556
594	815	555
595	816	553
596	817	551
597	818	550
598	819	548
599	820	546
600	822	545
601	824	545
602	825	543
603	826	541
604	826	539
605	827	537
606	828	536
607	828	534
608	829	532
609	830	531
610	831	529
611	832	527
612	833	526
613	834	524
614	834	522
615	835	520
616	837	519
617	838	518
618	839	516
619	840	515
620	841	513
621	842	511
622	842	510
623	843	508
624	844	506
625	845	504
626	845	503
627	846	501
628	847	499
629	847	497
630	848	496
631	849	494
632	850	493
633	853	492
634	855	491
635	856	490
636	857	488
637	858	486
638	859	485
639	860	483
640	860	482
641	861	480
642	862	478
643	863	477
644	864	475
645	864	473
646	867	473
647	869	472
648	870	470
649	871	469
650	872	467
651	872	465
652	873	464
653	874	462
654	875	460
655	875	459
656	876	457
657	877	455
658	877	454
659	878	452
660	879	450
661	880	449
662	881	448
663	883	447
664	884	445
665	884	443
666	885	442
667	886	440
668	887	439
669	888	437
670	888	435
671	889	434
672	890	432
673	891	431
674	892	429
675	893	428
676	894	426
677	898	426
678	899	425
679	900	423
680	900	421
681	901	420
682	902	418
683	903	417
684	904	415
685	905	414
686	905	412
687	906	411
688	907	409
689	908	408
690	911	407
691	912	406
692	913	404
693	914	403
694	915	401
695	915	400
696	916	398
697	917	396
698	917	395
699	918	393
700	919	392
701	919	390
702	920	388
703	921	387
704	922	385
705	922	384
706	923	382
707	924	381
708	927	380
709	927	379
710	928	377
711	929	375
712	930	374
713	930	372
714	931	371
715	932	369
716	932	368
717	933	366
718	934	365
719	935	363
720	936	362
721	937	360
722	937	359
723	938	357
724	940	356
725	941	355
726	942	354
727	943	352
728	944	350
729	944	349
730	945	347
731	946	346
732	947	345
733	948	343
734	949	342
735	950	340
736	950	339
737	951	337
738	952	336
739	953	334
740	954	333
741	956	332
742	957	331
743	958	329
744	958	328
745	959	326
746	961	325
747	962	324
748	963	322
749	964	321
750	965	320
751	966	318
752	967	317
753	973	317
754	974	316
755	975	314
756	976	313
757	977	312
758	978	310
759	979	309
760	980	307
761	980	306
762	981	304
763	982	303
764	984	302
765	986	301
766	987	300
767	989	298
768	990	297
769	991	296
770	992	294
771	993	293
772	994	292
773	995	290
774	995	289
775	996	287
776	997	286
777	1000	285
778	1001	284
779	1002	282
780	1003	281
781	1004	280
782	1005	278
783	1006	277
784	1006	275
785	1007	274
786	1008	272
787	1009	271
788	1010	270
789	1011	268
790	1012	267
791	1013	266
792	1014	264
793	1015	263
794	1016	262
795	1017	260
796	1018	259
797	1018	257
798	1019	256
799	1020	255
800	1020	253
801	1021	252
802	1022	250
803	1023	249
804	1024	248
805	1025	246
806	1025	245
807	1026	243
808	1027	242
809	1033	242
810	1034	241
811	1035	239
812	1036	238
813	1037	236
814	1038	235
815	1038	234
816	1039	232
817	1041	231
818	1043	230
819	1045	229
820	1047	228
821	1048	226
822	1049	225
823	1050	224
824	1051	223
825	1053	222
826	1055	220
827	1057	219
828	1059	218
829	1060	217
830	1062	216
831	1067	215
832	1069	214
833	1073	213
834	1075	212
835	1077	211
836	1078	210
837	1079	208
838	1081	207
839	1082	206
840	1085	205
841	1088	204
842	1089	202
843	1090	201
844	1092	200
845	1093	199
846	1094	197
847	1095	196
848	1096	195
849	1102	194
850	1104	193
851	1105	192
852	1108	191
853	1109	189
854	1110	188
855	1112	187
856	1115	186
857	1117	184
858	1119	183
859	1121	182
860	1123	181
861	1124	180
862	1126	178
863	1132	178
864	1135	177
865	1136	175
866	1137	174
867	1140	173
868	1141	172
869	1143	170
870	1145	169
871	1148	168
872	1150	167
873	1152	166
874	1153	164
875	1154	163
876	1156	162
877	1162	161
878	1164	160
879	1165	158
880	1166	157
881	1167	156
882	1168	154
883	1169	153
884	1171	152
885	1177	151
886	1178	150
887	1179	148
888	1180	147
889	1182	146
890	1184	144
891	1185	143
892	1186	142
893	1190	141
894	1192	139
895	1193	138
896	1194	137
897	1195	135
898	1196	134
899	1197	133
900	1198	131
901	1199	130
902	1201	129
903	1206	128
904	1208	126
905	1209	125
906	1210	124
907	1211	122
908	1213	121
909	1214	120
910	1215	118
911	1223	118
912	1224	116
913	1226	115
914	1227	114
915	1228	112
916	1229	111
917	1230	109
918	1233	108
919	1234	107
920	1235	106
921	1236	104
922	1238	103
923	1239	101
924	1240	100
925	1241	99
926	1242	97
927	1247	96
928	1250	95
929	1251	94
930	1253	92
931	1255	91
932	1257	90
933	1258	88
934	1264	87
935	1265	86
936	1266	85
937	1267	83
938	1269	82
939	1270	81
940	1272	79
941	1273	78
942	1278	77
943	1280	75
944	1282	74
945	1283	73
946	1284	71
947	1285	70
948	1286	69
949	1288	67
950	1292	66
951	1293	65
952	1294	63
953	1296	62
954	1298	61
955	1299	59
956	1306	58
957	1307	57
958	1308	55
959	1309	54
960	1310	53
961	1311	51
962	1312	50
963	1312	49
964	1314	47
965	1315	46
966	1320	45
967	1321	43
968	1322	42
969	1323	40
970	1324	39
971	1324	38
972	1325	36
973	1326	35
974	1328	34
975	1329	32
976	1330	31
977	1332	29
978	1334	28
979	1335	27
980	1336	25
981	1337	24
982	1338	23
983	1340	21
984	1341	20
985	1342	19
986	1343	17
987	1344	16
988	1345	14
989	1346	13
990	1347	12
991	1348	10
992	1348	9
993	1349	8
994	1350	6
995	1352	5
996	1353	4
997	1354	2
998	1354	1
999	1355	0
